"Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"239","65","109","231","427","682","5469","8022","9163","8728","2762","526"
"210","203","164","209","499","1149","3610","14196","30565","8475","1419","268"
"222","84","146","318","607","1700","4689","16596","20499","7057","1143","176"
"72","64","96","176","1448","884","4407","16773","13911","4399","1823","124"
"80","94","105","163","454","1874","2912","16164","28192","11059","1109","156"
"68","88","83","157","397","986","2261","6231","18831","9093","2360","690"
"253","89","95","114","302","793","995","3760","7809","7693","1882","247"
"127","84","131","623","1090","2748","5455","34574","25482","7562","3914","1329"
"137","37","96","186","549","721","1878","6795","12126","6189","2529","519"
"191","56","156","125","490","496","1621","4358","8685","5336","956","238"
"180","83","219","469","431","298","1347","4516","6106","1973","1435","479"
"69","99","83","263","141","444","874","2567","4319","5605","1056","371"
"180","100","138","113","112","518","948","2797","6343","5994","1881","766"
"282","140","165","447","720","2397","6421","10388","8031","4229","849","469"
"322","124","108","144","234","935","3645","4545","8719","7063","1070","264"
"166","71","139","245","716","1066","3730","5259","9122","2754","824","427"
"286","230","206","316","653","1309","2566","14412","16394","5373","2237","291"
"360","133","344","413","835","911","2524","5625","10345","12216","5754","622"
